静默,8.4,(346人评价),[法]维罗妮克·普兰/袁筱一/新星出版社/2016-10/32.00元
请以你的名字呼唤我,8.3,(1199人评价),安德烈·艾席蒙/权景/中国友谊出版公司/2012-9-10/29.80元
重生,8.2,(157人评价),[美]斯蒂芬·金/朱力安/湖南文艺出版社/2016-12/39.80元
摆渡人,6.9,(25496人评价),[英]克莱儿·麦克福尔/付强/百花洲文艺出版社/2015-6-1/36.00
午夜之子,8.4,(843人评价),[英]萨曼·鲁西迪/刘凯芳/北京燕山出版社/2015-9/56.00元
香水,8.5,(26541人评价),[德]帕·聚斯金德/李清华/上海译文出版社/2005-5/20.00元
看不见的城市,8.8,(25470人评价),[意大利]伊塔洛·卡尔维诺/张宓/译林出版社/2006-8/16.00元
Me Before You,8.3,(924人评价),JOJOMOYES/PenguinBooks/2012-1-6/78元
冰与火之歌（卷一）,9.3,(21777人评价),[美]乔治·R.R.马丁/谭光磊、屈畅/重庆出版社/2005-5/68.00元
半生缘,8.6,(33252人评价),张爱玲/北京十月文艺出版社/2006-12/28.00元
长夜难明,8.8,(700人评价),紫金陈/浦睿文化/云南人民出版社/2017-1/42.00元
阿特拉斯耸耸肩（上下）,8.8,(2576人评价),安·兰德/杨格/重庆出版社/2007-10/98.00元
去别处,8.0,(300人评价),顾前/北京十月文艺出版社/2016-11/39.5元
精神病患,8.3,(491人评价),[美]威廉·彼得·布拉蒂/姚向辉/北京时代华文书局/2016-5-16/56.00元
洛丽塔,7.7,(51698人评价),[美]弗拉基米尔·纳博科夫/主万/上海译文出版社/2005-12/27.00元
红楼梦,9.5,(113917人评价),[清]曹雪芹著、高鹗续/人民文学出版社/1996-12/59.70元
红玫瑰与白玫瑰,8.4,(36762人评价),张爱玲/花城出版社/1996-06/12.80元
屠夫十字镇,8.4,(585人评价),[美]约翰·威廉斯/李广荣/世纪文景/上海人民出版社/2016-7/49.00元
达·芬奇密码,8.2,(123928人评价),[美]丹·布朗/朱振武、吴晟、周元晓/上海人民出版社/2004-2/28.00元
阿城精选集,9.0,(3253人评价),阿城/北京燕山出版社/2011-3/25.00元
困扰种种,8.1,(247人评价),[美]莉迪亚·戴维斯/吴永熹/中信出版集团/楚尘文化/2016-7/48.00元
麦田里的守望者,7.9,(48570人评价),[美国]J.D.塞林格/施咸荣/译林出版社/1997-2/7.80元
第十三天,7.6,(826人评价),[德]梁柯/上海文艺出版社·豆瓣阅读/2016-10/37.00
来自新世界 （上下）,9.0,(2928人评价),[日]贵志祐介/丁丁虫/上海译文出版社/2014-4/88.00
第十二日,10.0,(20人评价),项维/广东人民出版社/2017-3/35.00元
生活在别处,8.3,(23483人评价),[捷克]米兰·昆德拉/袁筱一/上海译文出版社/2004-5/25.00元
卡尔维诺文集（第三卷）,9.3,(4026人评价),[意大利]卡尔维诺/吴正仪/译林出版社/2001-9/21.00元
金阁寺,8.6,(9814人评价),[日]三岛由纪夫/唐月梅/上海译文出版社/2009-1/24.00
软件体的生命周期,8.7,(1226人评价),[美]特德·姜/张博然/译林出版社/2015-5/35.00元
自由,8.4,(4266人评价),[美]乔纳森·弗兰岑/缪梅/南海出版公司/2012-5/49.50元
时间旅行者的妻子,8.1,(34607人评价),[美]奥德丽·尼芬格/夏金、安璘/人民文学出版社/2007-4/29.90元
受戒,9.2,(3477人评价),汪曾祺/漓江出版社/1987-10/3.95元
遍地风流,8.8,(922人评价),阿城/作家出版社/1998/12.00
雙面陷阱,8.5,(少于10人评价),S.J.華森/顏湘如/寂寞/2015-4-30
简爱,8.3,(102536人评价),[英]夏洛蒂·勃朗特/世界图书出版公司/2003-11/18.00元
狼图腾,8.4,(73547人评价),姜戎/长江文艺出版社/2004-4/32.00元
怒,8.5,(1136人评价),[日]吉田修一/岳远坤/世纪文景/上海人民出版社/2016-7-31/42.00元
没有人给他写信的上校,8.9,(10648人评价),[哥伦比亚]加西亚·马尔克斯/陶玉平/南海出版公司/2013-5/19.50元
爱德华·巴纳德的堕落,8.2,(238人评价),[英]毛姆/陈以侃/理想国|广西师范大学出版社/2016-10-1/56.00元
哈扎尔辞典（阳本）,8.8,(2336人评价),(塞尔维亚)米洛拉德·帕维奇/南山、戴骢、石枕川/上海译文出版社/2013-1-1/45.00元
棋王,8.7,(12361人评价),阿城/作家出版社/1999-10/13.00
呼啸山庄,8.4,(54825人评价),艾米莉·勃朗特/张扬、张玲/人民文学出版社/1999-1/27.30元
你是我的命运,8.0,(765人评价),[日]白石一文/刘姿君/四川文艺出版社/2016-5/36.80
四季红,8.1,(493人评价),蒋晓云/新星出版社/2016-8/35
追忆似水年华（上下册）,9.1,(2275人评价),[法国]马塞尔·普鲁斯特/李恒基、徐继增、桂裕芳、袁树仁、潘丽珍、许渊冲/译林出版社/2001-4/68.00元
三体Ⅲ,9.2,(75728人评价),刘慈欣/重庆出版社/2010-11/38.00元
基督山伯爵,8.9,(48810人评价),大仲马/周克希、韩沪麟/上海译文出版社/1991-12-1/43.90元
清明上河图密码,8.2,(3375人评价),冶文彪/北京联合出版公司/2015-1-1/49.90元
时间的针脚,8.4,(5846人评价),[西]玛丽亚·杜埃尼亚斯/罗秀/南海出版公司/2012-3/39.50元
皮囊之下,8.5,(184人评价),[英]米歇尔·法柏/杨蓓/中国友谊出版公司/2016-10/38.00
午夜凶铃,8.3,(3423人评价),铃木光司/陈惠莉/南海出版公司/2003-01/19.80
美好的七年,8.4,(376人评价),[以色列]埃特加·凯雷特/方铁/上海文艺出版社/2016-3-31/25.00元
冰与火之歌,9.6,(1842人评价),[美]乔治·R.R.马丁/谭光磊、屈畅、胡绍晏/重庆出版社/2013-10-1/330.00元
世上最美的溺水者,8.7,(2179人评价),[哥伦比亚]加西亚·马尔克斯/陶玉平/南海出版公司/2015-11-1/35.00元
质数的孤独,8.0,(14445人评价),[意]保罗·乔尔达诺/文铮/上海译文出版社/2011-3/26.00元
飞灰,8.7,(92人评价),[德]莫妮卡·马龙/潘璐/雅众文化/人民文学出版社/2016-12/32.00元
一首小夜曲,8.1,(1738人评价),[日]伊坂幸太郎/金静和/新星出版社/2016-1/35.00
夏日启示录,8.0,(523人评价),[日]笠井洁/简之/新星出版社/2016-8/45.00元
生于一九八四,8.0,(346人评价),郝景芳/电子工业出版社/2016-6-1/49.00元
神们自己,8.4,(6539人评价),[美]艾萨克·阿西莫夫/崔正男/江苏凤凰文艺出版社/2014-12-1/39.00元
